model_id,family,task,engine,license_status,default_safe,install_extra,registry_status,execution_status,final_state,blocker_code,blocker_category,evidence_artifact,evidence_source,run_mode,should_be_called_in_notebook,called_in_notebook,notebook_call_count,notebook_paths,notebook_call_types,notebook_execution_status,notebook_evidence_artifacts,output_artifact_exists,current_run_id,stale_from_previous_run,missing_from_notebook_reason,exact_exception_type,attempted_command,sidecar_name,sidecar_python_version,sidecar_torch_version,cuda_required,cuda_observed,manual_fix_command,evidence_source_kind,called_in_current_notebook_run,current_run_call_count,current_run_artifact_exists,historical_artifact_used_as_fallback
oneformer-swin-large,oneformer,segment,,MIT,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,02_automatic_segmentation/Automatic_Segmentation_Benchmark.ipynb,smoke,executed,02_automatic_segmentation/reports/20260519T171956Z_oneformer-swin-large_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
osnet-x1.0,osnet,reid,,MIT,True,,sidecar_required,sidecar_required,sidecar_required,SIDECAR_ENV_MISSING,unclassified,,registry,blocked,True,True,1,12_libreyolo/LibreYOLO_Audit_and_Smoke.ipynb,sidecar_status,executed,12_libreyolo/reports/20260519T171956Z_osnet-x1_0_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
owlv2-base-patch16,owlv2,open_vocab_detect,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,04_open_vocab_vlm/Open_Vocab_VLM_Demo.ipynb,smoke,executed,04_open_vocab_vlm/reports/20260519T171956Z_owlv2-base-patch16_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
owlv2-large-patch14,owlv2,open_vocab_detect,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,04_open_vocab_vlm/Open_Vocab_VLM_Demo.ipynb,smoke,executed,04_open_vocab_vlm/reports/20260519T171956Z_owlv2-large-patch14_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
owlvit-base-patch32,owlvit,open_vocab_detect,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,04_open_vocab_vlm/Open_Vocab_VLM_Demo.ipynb,smoke,executed,04_open_vocab_vlm/reports/20260519T171956Z_owlvit-base-patch32_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
owlvit-large-patch14,owlvit,open_vocab_detect,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,04_open_vocab_vlm/Open_Vocab_VLM_Demo.ipynb,smoke,executed,04_open_vocab_vlm/reports/20260519T171956Z_owlvit-large-patch14_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
prithvi-eo-2.0,prithvi,embed,,Apache-2.0,False,,non_core_license_optional,opt_in_license_required,opt_in_license_required,OPT_IN_LICENSE_REQUIRED,external,,registry,blocked,True,True,1,06_embedding_similarity/Embedding_Similarity_Demo.ipynb,license_gate,executed,06_embedding_similarity/reports/20260519T171956Z_prithvi-eo-2_0_current_run.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,1,True,False
rfdetr-base,rfdetr,detect,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,01_object_detection/reports/detection_leaderboard.json,notebook/01_object_detection/reports/detection_leaderboard.json,benchmark,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,benchmark|smoke,executed,01_object_detection/reports/20260519T171956Z_rfdetr-base_current_run.json|01_object_detection/reports/detection_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rfdetr-large,rfdetr,detect,,Apache-2.0,True,,wired,benchmark_passed,benchmark_passed,,unclassified,01_object_detection/reports/detection_leaderboard.json,notebook/01_object_detection/reports/detection_leaderboard.json,benchmark,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,benchmark|smoke,executed,01_object_detection/reports/20260519T171956Z_rfdetr-large_current_run.json|01_object_detection/reports/detection_leaderboard.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
rfdetr-medium,rfdetr,detect,,Apache-2.0,True,,wired,smoke_passed,smoke_passed,,unclassified,reports/canonical_smoke_summary_v230.json,notebook_call,smoke,True,True,2,01_object_detection/Object_Detection_Benchmark.ipynb,smoke,executed,01_object_detection/reports/20260519T171956Z_rfdetr-medium_current_run.json|reports/canonical_smoke_summary_v230.json,True,20260519T171956Z,False,,,,,,,,,,current_run,True,2,True,False
