model_id,family,task,command,final_state,blocker_code,fix,output_json_path,draw_path,runtime_ms,schema_valid,package_bug,external_blocker,evidence_file
rfdetr-base,rfdetr,detect,/home/arash/miniconda3/bin/python -m visionservex predict rfdetr-base /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_rfdetr-base.json,smoke_passed,,,/tmp/vsx_smoke_rfdetr-base.json,,5209.347614989383,True,False,False,/tmp/vsx_smoke_rfdetr-base.json
rfdetr-large,rfdetr,detect,/home/arash/miniconda3/bin/python -m visionservex predict rfdetr-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_rfdetr-large.json,smoke_passed,,,/tmp/vsx_smoke_rfdetr-large.json,,4429.058794004959,True,False,False,/tmp/vsx_smoke_rfdetr-large.json
rfdetr-medium,rfdetr,detect,/home/arash/miniconda3/bin/python -m visionservex predict rfdetr-medium /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_rfdetr-medium.json,smoke_passed,,,/tmp/vsx_smoke_rfdetr-medium.json,,5303.772977000335,True,False,False,/tmp/vsx_smoke_rfdetr-medium.json
rfdetr-nano,rfdetr,detect,/home/arash/miniconda3/bin/python -m visionservex predict rfdetr-nano /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_rfdetr-nano.json,smoke_passed,,,/tmp/vsx_smoke_rfdetr-nano.json,,5166.3319380022585,True,False,False,/tmp/vsx_smoke_rfdetr-nano.json
rfdetr-small,rfdetr,detect,/home/arash/miniconda3/bin/python -m visionservex predict rfdetr-small /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json --save-json /tmp/vsx_smoke_rfdetr-small.json,smoke_passed,,,/tmp/vsx_smoke_rfdetr-small.json,,5230.654270009836,True,False,False,/tmp/vsx_smoke_rfdetr-small.json
clip-vit-base-patch32,clip,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed clip-vit-base-patch32 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,smoke_passed,,,/tmp/vsx_smoke_clip-vit-base-patch32.json,,4786.492159997579,True,False,False,/tmp/vsx_smoke_clip-vit-base-patch32.json
clip-vit-large-patch14,clip,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed clip-vit-large-patch14 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,smoke_passed,,,/tmp/vsx_smoke_clip-vit-large-patch14.json,,5067.464248000761,True,False,False,/tmp/vsx_smoke_clip-vit-large-patch14.json
dinov2-base,dinov2,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed dinov2-base /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,smoke_passed,,,/tmp/vsx_smoke_dinov2-base.json,,4461.295924993465,True,False,False,/tmp/vsx_smoke_dinov2-base.json
dinov2-giant,dinov2,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed dinov2-giant /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,smoke_passed,,,/tmp/vsx_smoke_dinov2-giant.json,,6129.483908007387,True,False,False,/tmp/vsx_smoke_dinov2-giant.json
dinov2-large,dinov2,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed dinov2-large /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,smoke_passed,,,/tmp/vsx_smoke_dinov2-large.json,,4815.729095003917,True,False,False,/tmp/vsx_smoke_dinov2-large.json
dinov2-small,dinov2,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed dinov2-small /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,smoke_passed,,,/tmp/vsx_smoke_dinov2-small.json,,4380.568699998548,True,False,False,/tmp/vsx_smoke_dinov2-small.json
siglip-base-patch16-224,siglip,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed siglip-base-patch16-224 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,expected_blocker,DOWNLOAD_FAILED,,/tmp/vsx_smoke_siglip-base-patch16-224.json,,2309.645389992511,False,False,True,/tmp/vsx_smoke_siglip-base-patch16-224.json
siglip2-base-patch16-224,siglip2,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed siglip2-base-patch16-224 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,smoke_passed,,,/tmp/vsx_smoke_siglip2-base-patch16-224.json,,5010.965129011311,True,False,False,/tmp/vsx_smoke_siglip2-base-patch16-224.json
siglip2-large-patch16-256,siglip2,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed siglip2-large-patch16-256 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,smoke_passed,,,/tmp/vsx_smoke_siglip2-large-patch16-256.json,,5730.954508995637,True,False,False,/tmp/vsx_smoke_siglip2-large-patch16-256.json
siglip2-so400m-patch14-384,siglip2,embed,/home/arash/miniconda3/bin/python -m visionservex feature embed siglip2-so400m-patch14-384 /home/arash/PycharmProjects/VisionServeX/tests/assets/smoke/coco_person_car.jpg --device cuda --json,smoke_passed,,,/tmp/vsx_smoke_siglip2-so400m-patch14-384.json,,6192.898270004662,True,False,False,/tmp/vsx_smoke_siglip2-so400m-patch14-384.json
