hf_model_id,family,task,weight_filename,weight_size_bytes,license,license_source,auto_pull_allowed,default_safe,blocker_code,downloads,last_modified
LibreYOLO/LibreECm,unknown,detection,LibreECm.pt,78163756,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:38:58+00:00
LibreYOLO/LibreECl,unknown,detection,LibreECl.pt,132355392,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:39:04+00:00
LibreYOLO/LibreECx,unknown,detection,LibreECx.pt,200308096,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:39:11+00:00
LibreYOLO/LibrePICODETs,unknown,detection,LibrePICODETs.pt,4259579,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:50:04+00:00
LibreYOLO/LibrePICODETm,unknown,detection,LibrePICODETm.pt,8977147,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:50:07+00:00
LibreYOLO/LibrePICODETl,unknown,detection,LibrePICODETl.pt,13614075,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 21:50:11+00:00
LibreYOLO/LibreDEIMv2atto,unknown,detection,LibreDEIMv2atto.pt,2247593,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 22:29:56+00:00
LibreYOLO/LibreDEIMv2femto,unknown,detection,LibreDEIMv2femto.pt,4164622,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 22:29:59+00:00
LibreYOLO/LibreDEIMv2pico,unknown,detection,LibreDEIMv2pico.pt,6438149,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-03 22:30:03+00:00
LibreYOLO/LibreYOLO9E2Et,yolov9,detection,LibreYOLO9E2Et.pt,15888201,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-04 11:19:22+00:00
LibreYOLO/LibreYOLO9E2Es,yolov9,detection,LibreYOLO9E2Es.pt,47545097,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-04 11:19:24+00:00
LibreYOLO/LibreYOLO9E2Em,yolov9,detection,LibreYOLO9E2Em.pt,136267145,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-04 11:19:26+00:00
LibreYOLO/LibreYOLO9E2Ec,yolov9,detection,LibreYOLO9E2Ec.pt,169199953,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-04 11:19:29+00:00
LibreYOLO/LibreDAMOYOLOs,damoyolo,detection,LibreDAMOYOLOs.pt,68140655,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-09 16:37:06+00:00
LibreYOLO/LibreDAMOYOLOt,damoyolo,detection,LibreDAMOYOLOt.pt,35830345,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-09 16:36:59+00:00
LibreYOLO/LibreDAMOYOLOm,damoyolo,detection,LibreDAMOYOLOm.pt,117492507,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-09 16:37:13+00:00
LibreYOLO/LibreDAMOYOLOns,damoyolo,detection,LibreDAMOYOLOns.pt,5929965,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-09 16:36:49+00:00
LibreYOLO/LibreDAMOYOLOnm,damoyolo,detection,LibreDAMOYOLOnm.pt,11182893,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-09 16:36:51+00:00
LibreYOLO/LibreDAMOYOLOnl,damoyolo,detection,LibreDAMOYOLOnl.pt,23197135,see_license_file,LICENSE_file,False,False,LIBREYOLO_WEIGHT_LICENSE_NOT_DEFAULT_SAFE,0,2026-05-09 16:36:55+00:00
